val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l2	43	81	21	53	38	32	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	3	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	42	65	10	43	23	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	44	79	21	55	35	34	2	1	1	2	2	2	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	3	0	0	0	0	0	0	0	1	4	3	2	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	2	2	1	1	0
l0	35	66	21	43	31	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	37	98	21	55	61	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1
l4	39	89	23	52	50	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l5	34	80	26	55	46	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	1	1	1	1	1	4	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1
l6	37	74	25	56	37	31	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	3	0	1	1	0	0	1	1	3	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	4	0	0	0	0	0	1	2	1	2	2	2	2	2	2	2	1
l7	41	72	14	56	31	42	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	1	1	1	1	1	1	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	3
l8	36	74	11	59	38	48	0	0	0	0	0	0	0	0	1	1	2	6	4	0	0	0	2	1	1	2	2	1	5	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	6	5	3	1	1	2	2	2	2	1	1	2	1	0	0	0	0	0
l2	40	79	21	52	39	31	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	3	3	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	41	69	22	56	28	34	1	0	0	0	0	0	0	0	5	7	3	0	0	0	0	0	7	1	1	1	1	1	0	1	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	6	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3
l8	42	72	21	54	30	33	0	0	0	2	2	2	2	5	2	0	0	0	0	0	0	0	5	1	1	1	1	3	7	3	0	0	0	0	0	0	0	0	3	5	2	0	0	1	1	1	2	2	2	2	2	2	7	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
l6	45	73	21	53	28	32	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6	1	1	1	1	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	3	2	3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	34	65	22	57	31	35	0	0	0	0	0	0	0	0	3	5	4	0	0	0	0	0	2	0	1	1	1	1	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	5	0	1	1	2	2	2	2	2	1	1	1	0	0	0	0	0
l8	35	68	24	58	33	34	0	0	0	1	1	1	0	1	1	1	1	4	0	0	0	0	3	0	0	2	1	1	1	2	4	3	3	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	1	1	0	2	5	0	0	1	2	1	1	1	1	1	1	2	2	2	1	1	1
