val	data0	data1	data2	data3	data4	data5	data6	data7	data8	data9	data10	data11	data12	data13	data14	data15	data16	data17	data18	data19	data20	data21	data22	data23	data24	data25	data26	data27	data28	data29	data30	data31	data32	data33	data34	data35	data36	data37	data38	data39	data40	data41	data42	data43	data44	data45	data46	data47	data48	data49	data50	data51	data52	data53	data54	data55	data56	data57	data58	data59	data60	data61	data62	data63	data64	data65	data66	data67	data68	data69	
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	
class
l7	54	72	21	52	18	31	5	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	4	2	2	2	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	3	2	1	1	1	1	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	49	71	21	55	22	34	0	0	0	4	2	3	2	3	5	4	0	0	0	0	0	0	6	2	2	4	5	5	2	1	0	0	0	0	0	0	0	0	1	4	5	2	1	0	0	1	2	2	2	3	4	2	6	6	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0	0
l6	39	55	21	53	16	32	5	0	0	0	1	2	3	5	0	0	0	0	0	0	0	0	8	2	2	2	2	2	3	6	0	0	0	0	0	0	0	0	1	2	1	3	3	2	2	2	2	2	2	2	3	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l7	59	77	21	55	18	34	3	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	7	2	2	3	2	2	7	7	3	1	0	0	0	0	0	0	2	2	2	2	2	3	3	3	3	3	3	3	2	6	8	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
l8	56	77	21	55	21	34	1	4	5	3	3	3	3	2	4	3	0	0	0	0	0	0	4	2	2	2	2	5	4	3	0	0	0	0	0	0	0	0	3	5	7	4	2	2	0	1	3	3	1	1	2	8	6	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0
l6	46	69	21	56	23	35	0	0	2	3	2	2	2	3	2	1	0	0	0	0	0	0	2	2	2	2	2	2	2	1	2	6	4	0	0	0	0	0	2	3	3	2	2	1	1	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	1	2	2	2	2	2	2	2	0	0
l4	47	75	22	54	28	32	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	3	1	0	1	1	2	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	2	0	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
l5	62	93	22	58	31	36	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	3	2	1	1	2	2	2	4	0	0	0	0	0	0	0	0	1	0	0	1	5	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	2
l6	50	78	21	57	28	36	2	0	0	0	0	0	2	2	1	1	2	0	0	0	0	0	2	2	1	1	1	1	2	1	2	3	4	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	1	2	1	1	1	1	2	2	2	0	0
l10	25	70	21	60	45	39	1	2	1	1	1	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	4	4	1	1	1	1	6	6	2	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	3	0	2	2	2	2	2	2	2	2	2	2	2	2	3	4	2	0
l11	29	62	21	62	33	41	2	2	2	2	3	5	0	0	0	0	1	2	3	6	3	0	0	0	0	0	2	4	1	1	1	1	2	3	3	1	0	0	0	3	5	3	2	1	1	1	1	1	4	2	0	0	0	0	0	4	2	2	2	1	2	2	2	3	6	0	0	0	0	0
l3	38	71	21	54	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
l9	40	69	21	54	29	33	2	2	2	1	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	5	0	0	0	0	0	0	0	2	3	4	2	2	2	2	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
l0	39	67	12	43	28	31	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	43	69	21	58	26	37	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	3	2	2	2	1	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	8	3	0	0	0	0	1	1	2	1	1	1	1	2	3	1	0	0	0	0	0
l2	28	81	21	55	53	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
l2	45	64	21	52	19	31	3	2	2	2	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	2	3	3	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	46	71	10	42	25	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	44	78	21	57	34	36	2	2	1	2	2	2	2	3	3	4	2	0	0	0	0	0	5	0	0	0	0	0	0	1	3	6	5	0	0	0	0	0	2	6	5	2	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	2	2	3	2	2	2	2	2	3	2	1	0
l0	41	74	21	43	33	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	34	94	21	56	60	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	1	1	4	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2
l4	36	74	21	58	38	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	2	1	1	1	1	2	5	2	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	5	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1
l5	34	74	21	55	40	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	1	2	1	1	1	4	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	7	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1
l6	35	73	21	58	38	37	4	0	0	0	0	1	1	1	2	1	2	1	0	0	0	0	1	0	1	1	1	1	1	2	1	2	5	3	0	0	0	0	0	0	0	4	1	0	1	1	1	0	0	0	0	0	2	5	0	0	0	0	1	3	1	1	1	2	2	1	1	2	2	0
l7	68	96	8	56	28	48	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	1	1	1	0	1	1	1	1	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2	2	2	2	2	2	2	2	2	2	1	0	0
l8	38	67	15	56	29	41	0	0	0	0	0	0	2	2	3	6	5	0	0	0	0	0	1	1	1	1	1	1	4	7	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	1	2	2	2	1	8	0	0	1	2	2	2	2	2	3	1	0	0	0	0	1	1	0
l2	44	78	22	57	34	35	6	1	1	1	2	2	1	1	2	2	2	0	0	0	0	0	3	1	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	0	1	1	1	5	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	2	2	2	1	0
l7	42	70	21	55	28	34	5	0	0	0	0	0	0	1	7	2	0	0	0	0	0	0	3	2	1	1	1	1	1	8	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	1	1	1	1	1	3	8	0	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0
l8	41	72	21	55	31	34	4	0	0	0	1	1	1	1	5	1	0	0	0	0	0	0	4	2	2	1	1	1	7	7	1	0	0	0	0	0	0	0	0	0	4	0	1	1	1	1	2	3	2	1	2	2	5	8	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	0
l6	47	68	21	59	21	38	4	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	5	4	6	4	2	2	2	2	3	2	4	5	2	0	0	0	0	0	0	0	1	1	1	1	2	3	3	3	3	2	6	5	0	0	0	0	1	1	2	2	2	2	1	2	2	3	3	1
l7	27	60	21	58	33	37	0	0	0	0	0	0	0	0	0	2	6	3	0	0	0	0	1	1	1	1	1	1	1	1	6	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	2	1	1	1	2	2	2	2	3	3	2	2	2	1
l8	34	62	21	54	28	33	1	0	0	2	2	2	1	3	4	0	0	0	0	0	0	0	3	1	1	1	1	5	6	1	0	0	0	0	0	0	0	0	3	5	1	0	0	0	0	2	3	2	2	1	2	2	7	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
l6	30	64	21	61	34	40	0	0	1	0	1	0	1	1	1	1	2	3	4	3	0	0	1	1	1	0	0	0	1	1	1	2	1	2	4	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	2	2	3	2	2	1	1	2	2	3	2	2	2
l4	39	74	22	59	35	37	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	2	2	1	1	1	1	1	1	4	4	1	0	0	0	0	0	0	0	1	0	0	1	5	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	1	1	1	0
l5	39	88	21	59	49	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	2	2	1	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	2	2
l6	39	76	21	58	37	37	0	0	0	0	1	1	0	1	2	3	2	0	0	0	0	0	0	1	2	1	1	1	1	1	2	4	4	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	2	3	2	2	2	2	3	2	0	0	0
l10	41	72	21	60	31	39	2	2	2	2	2	2	2	1	0	0	0	8	6	5	0	0	0	0	0	0	0	0	4	7	1	1	2	8	7	1	0	0	0	0	2	3	3	3	2	2	2	1	0	1	1	2	2	2	1	1	3	3	3	3	3	2	2	2	2	2	2	2	4	4
l11	24	59	21	57	35	36	2	1	2	2	1	1	1	1	4	3	5	0	0	0	0	0	2	2	3	4	1	1	2	5	2	1	1	0	0	0	0	0	4	0	0	1	3	1	1	1	2	3	2	2	7	4	0	0	1	3	1	1	1	2	2	1	0	0	0	3	1	0	0	0
l3	26	45	21	53	19	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	4	2	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	5	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	34	66	21	60	32	39	2	2	1	1	2	2	1	1	1	2	3	4	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	6	5	1	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	2	1	1	1	2	2	2	3	2	2	3	1
l0	44	76	12	42	32	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	33	68	21	56	35	35	2	0	0	0	0	0	1	2	5	4	1	0	0	0	0	0	3	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	2	5	0	0	0	0	0	1	3	2	2	1	1	0	0	0	0	0	0	0	0	0	0
l2	29	73	21	60	44	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	1	2	2	3	2	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	3
l2	43	66	21	55	23	34	2	2	2	2	1	1	2	2	1	1	0	0	0	0	0	0	2	1	0	0	0	0	3	2	4	3	0	0	0	0	0	0	0	0	0	0	0	6	6	2	2	1	0	0	1	2	1	1	0	0	0	0	0	0	0	2	2	2	2	1	0	0	0	0
l0	44	75	4	43	31	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	38	78	21	56	40	35	1	1	1	1	1	1	2	1	3	3	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	4	3	0	0	0	0	0	2	3	2	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	2	3	2	2	2	2	2	0	0	0	0
l0	16	54	21	42	38	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	39	76	21	59	37	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	1	1	1	0	1	1	1	2	5	2	0	0	0	0	0	0	0	0	1	1	0	0	3	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	2	1	2
l4	23	62	22	63	39	41	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	2	0	0	0	0	0	0	1	2	1	1	1	2	3	4	1	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	2	2	1	2	1	1	3	3
l5	27	66	21	59	39	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	3	2	2	2	2	2	1	1	4	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	8	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	2
l6	26	71	21	57	45	36	0	0	0	1	1	1	2	1	2	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	3	4	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	3	2	1	1	2	2	0	0	0
l7	28	66	6	55	38	49	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
l8	41	76	8	60	35	52	1	0	0	0	0	0	1	2	3	3	1	2	1	0	0	0	1	1	1	1	1	1	2	3	2	2	1	1	2	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	3	7	0	0	0	1	2	2	2	1	2	2	2	2	2	0	0	1	0
l2	47	70	21	55	23	34	4	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	3	0	0	0	0	1	2	2	5	4	0	0	0	0	0	0	0	0	0	4	7	3	2	1	1	1	1	0	0	1	2	2	0	0	0	0	0	0	1	1	2	2	2	2	1	0	0	0
l7	42	64	21	54	22	33	1	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	7	5	1	0	0	0	0	0	0	0	0	1	2	1	1	1	1	2	1	2	2	2	2	2	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
l8	41	72	21	60	31	39	1	0	0	0	0	0	2	2	1	1	1	1	4	4	0	0	6	2	2	1	1	1	3	5	4	3	3	2	2	2	0	0	2	2	0	0	0	0	0	1	1	1	2	3	2	1	3	8	0	1	2	1	2	2	2	2	2	3	3	0	0	1	3	4
l6	23	59	22	60	36	38	0	0	0	0	0	0	2	1	2	1	2	4	3	2	0	0	1	1	1	1	0	0	1	1	2	3	2	4	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	1	3	2	1	2	3	2	3	2	1	1	2	2	2	1
l7	35	60	21	55	25	34	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	2	1	1	1	1	2	2	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	8	3	0	0	0	0	0	2	2	1	1	1	0	0	0	0	1	2	0
l8	27	62	21	63	35	42	0	0	0	0	0	0	0	0	3	3	3	1	1	0	2	1	4	1	1	1	1	1	1	3	2	2	1	0	1	1	3	2	0	0	0	0	0	0	0	0	1	1	1	1	1	4	4	0	1	1	2	1	3	3	1	2	2	2	3	2	0	0	3	0
l6	47	68	21	54	21	33	3	2	2	2	2	2	2	3	3	0	0	0	0	0	0	0	2	1	1	2	2	2	2	3	1	0	0	0	0	0	0	0	4	5	3	2	1	1	1	1	1	0	1	2	2	2	3	4	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0
l4	33	73	22	57	40	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	3	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3	1
l5	34	75	23	60	41	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1	1	3	5	2	1	1	3	3	1	0	0	0	0	0	0	1	0	0	0	0	5	4	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	2	0
l6	39	79	21	56	40	35	1	1	1	1	1	1	1	1	3	5	4	0	0	0	0	0	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	3	5	2	0	0	0	0	0	0	1	2	2	2	2	3	1	0	0	0	0	0	0	0
l10	25	61	21	60	36	39	2	2	1	1	1	0	1	1	2	2	1	7	5	1	0	0	0	0	1	4	7	5	2	2	1	1	3	6	0	0	0	0	0	2	0	0	0	2	3	2	3	2	2	1	2	5	6	0	2	6	2	2	2	2	1	1	1	1	1	2	2	4	0	0
l11	31	63	21	57	32	36	2	2	3	3	0	1	1	3	4	5	4	0	0	0	0	0	3	4	6	3	2	1	5	6	0	0	0	0	0	0	0	0	3	0	1	3	2	1	2	3	4	4	3	4	4	6	5	0	0	3	2	2	3	2	1	0	0	0	0	0	0	0	0	0
l3	29	51	21	58	22	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	2	2	2	2	2	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	0	0
l9	37	63	21	54	26	33	2	2	2	2	2	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	5	6	3	2	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0
l0	38	78	3	43	40	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l1	43	76	21	52	33	31	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	6	5	4	2	1	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	2	4	5	4	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	26	78	21	54	52	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	2	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
l2	40	63	21	52	23	31	4	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	2	2	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	45	76	9	43	31	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	46	79	21	50	33	29	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	7	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	1	1	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l0	31	62	21	43	31	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	40	91	21	53	51	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	6	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l4	34	74	21	62	40	41	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	4	2	2	1	0	0	1	1	0	0	0	0	0	0	0	0	2	2	2	1	1	1	1	0	1	1
l5	32	77	21	61	45	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	3	4	4	4	1	1	1	2	3	5	4	0	0	0	0	0	1	0	0	1	1	2	5	7	6	7	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	2	2	1	1
l6	35	72	22	59	37	37	0	0	0	0	0	0	0	0	2	2	2	5	4	0	0	0	3	1	2	1	1	1	1	2	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	5	0	2	3	1	1	2	2	2	2	1	1	1	2	3	1	0	0
l7	36	67	8	49	31	41	0	0	0	1	7	4	0	0	0	0	0	0	0	0	0	0	4	2	2	2	8	5	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	1	2	1	2	3	2	2	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	35	65	14	53	30	39	2	0	1	1	2	2	4	3	0	0	0	0	0	0	0	0	5	1	1	5	7	5	1	1	0	0	0	0	0	0	0	0	3	4	2	0	0	1	3	2	3	3	3	3	3	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l2	40	72	21	55	32	34	3	1	2	1	1	2	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	2	0	0	0	0	0	0	0	0	0	4	6	2	1	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	1	2	2	2	1	1	1	0	0	0
l7	38	62	21	53	24	32	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	4	2	2	1	1	1	6	5	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2	3	3	2	2	2	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l8	34	63	21	56	29	35	1	0	0	0	0	0	3	2	4	5	2	0	0	0	0	0	5	1	1	1	2	1	6	7	1	1	0	0	0	0	0	0	2	2	1	0	0	0	0	1	2	3	3	3	2	2	4	5	0	0	2	2	2	2	2	1	0	0	0	0	0	0	2	0
l6	29	61	21	57	32	36	0	0	0	0	0	0	1	0	1	2	6	0	0	0	0	0	1	1	1	1	1	1	1	2	2	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	1	2	2	1	1	1	1	1	2	2	2	2	1	0	0
l7	39	67	21	55	28	34	0	0	0	0	0	0	1	2	4	1	0	0	0	0	0	0	6	1	1	1	1	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	3	3	2	1	1	7	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
l8	39	69	21	52	30	31	1	1	2	2	2	2	5	2	0	0	0	0	0	0	0	0	4	1	1	6	5	2	0	0	0	0	0	0	0	0	0	0	2	6	1	2	2	1	1	2	2	3	2	2	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l6	41	71	22	58	30	36	0	0	2	1	1	1	2	1	1	3	4	0	0	0	0	0	1	1	1	1	1	2	1	1	2	3	5	1	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	2	2	2	1	1	1	2	1	2	3	2	0	0
l4	43	79	21	58	36	37	3	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	2	5	0	0	0	0	0	0	0	0	1	1	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	1	1	2	1
l5	47	88	21	62	41	41	5	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	4	4	3	1	4	6	0	0	0	0	0	0	0	3	4	0	0	0	0	1	1	1	1	3	1	4	5	5	5	2	0	0	0	0	0	0	0	0	0	4	1	1	1	1	1	0	1	1
l6	42	76	21	56	34	35	4	0	0	0	0	1	1	1	2	5	4	0	0	0	0	0	5	1	1	1	1	1	1	2	2	2	1	0	0	0	0	0	1	2	0	1	1	1	1	0	0	1	1	2	3	6	0	0	0	0	1	2	2	2	2	2	2	2	1	0	0	0	0	0
l10	26	62	21	60	36	39	2	1	1	2	3	3	0	0	0	0	1	6	5	3	0	0	0	1	2	3	3	4	1	1	4	5	5	1	0	0	0	0	0	1	3	1	2	2	2	1	1	1	2	1	1	1	1	7	1	2	3	2	2	2	1	2	2	1	2	2	3	2	2	1
l11	26	59	21	57	33	36	2	2	1	1	1	1	3	4	6	4	3	0	0	0	0	0	4	3	5	1	2	2	3	3	1	0	0	0	0	0	0	0	2	3	0	0	1	3	3	3	3	3	7	6	3	1	0	0	1	3	3	3	2	1	0	0	0	1	0	0	0	0	0	0
l3	37	62	21	51	25	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
l9	33	64	21	54	31	33	1	2	2	2	2	2	5	8	3	0	0	0	0	0	0	0	0	0	1	2	3	3	2	0	0	0	0	0	0	0	0	0	7	8	1	1	1	2	2	2	1	2	2	2	2	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
l0	44	70	15	42	26	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
